State,County,Year,Observed
Georgia,Rabun County,2002,43.1
Georgia,Randolph County,2002,33.0
Georgia,Richmond County,2002,46.5
Georgia,Rockdale County,2002,47.6
Georgia,Schley County,2002,42.2
Georgia,Screven County,2002,39.0
Georgia,Seminole County,2002,37.8
Georgia,Spalding County,2002,42.5
Georgia,Stephens County,2002,32.6
Georgia,Stewart County,2002,38.1
Georgia,Sumter County,2002,40.1
Georgia,Talbot County,2002,37.0
Georgia,Taliaferro County,2002,28.9
Georgia,Tattnall County,2002,31.1
Georgia,Taylor County,2002,34.1
Georgia,Telfair County,2002,31.5
Georgia,Terrell County,2002,38.2
Georgia,Thomas County,2002,40.8
Georgia,Tift County,2002,36.3
Georgia,Toombs County,2002,33.1
Georgia,Towns County,2002,38.6
Georgia,Treutlen County,2002,29.2
Georgia,Troup County,2002,44.8
Georgia,Turner County,2002,30.9
Georgia,Twiggs County,2002,30.9
Georgia,Union County,2002,38.3
Georgia,Upson County,2002,34.9
Georgia,Walker County,2002,32.7
Georgia,Walton County,2002,40.9
Georgia,Ware County,2002,34.8
Georgia,Warren County,2002,32.3
Georgia,Washington County,2002,36.9
Georgia,Wayne County,2002,32.6
Georgia,Webster County,2002,31.6
Georgia,Wheeler County,2002,25.9
Georgia,White County,2002,41.9
Georgia,Whitfield County,2002,32.8
Georgia,Wilcox County,2002,25.6
Georgia,Wilkes County,2002,38.9
Georgia,Wilkinson County,2002,34.1
Georgia,Worth County,2002,33.9
Hawaii,Hawaii,2002,49.8
Hawaii,Hawaii County,2002,54.0
Hawaii,Honolulu County,2002,48.3
Hawaii,"Kalawao County, Maui County",2002,53.3
Hawaii,Kauai County,2002,53.2
Idaho,Ada County,2002,61.2
Idaho,Adams County,2002,61.2
Idaho,Bannock County,2002,42.5
Idaho,Bear Lake County,2002,22.6
Idaho,Benewah County,2002,58.9
Idaho,Bingham County,2002,29.6
Idaho,Blaine County,2002,72.4
Idaho,Boise County,2002,63.7
Idaho,Bonner County,2002,61.1
Idaho,Bonneville County,2002,39.7
Idaho,Boundary County,2002,58.9
Idaho,Butte County,2002,36.3
Idaho,Camas County,2002,66.7
Idaho,Canyon County,2002,47.8
Idaho,Caribou County,2002,30.1
Idaho,Cassia County,2002,29.3
Idaho,Clark County,2002,43.7
Idaho,Clearwater County,2002,57.1
Idaho,Custer County,2002,54.8
Idaho,Elmore County,2002,56.3
Idaho,Franklin County,2002,18.7
Idaho,Fremont County,2002,26.0
Idaho,Gem County,2002,50.5
Idaho,Gooding County,2002,45.9
Idaho,Idaho,2002,52.0
Idaho,Idaho County,2002,57.7
Idaho,Jefferson County,2002,23.2
Idaho,Jerome County,2002,48.3
