year,state,avg_alcohol_consumption,bigfoot_sightings
2012.0,ARIZONA,51.05625,1
2012.0,ARKANSAS,39.52105263157895,5
2012.0,CALIFORNIA,57.93898305084746,2
2012.0,COLORADO,61.2016393442623,2
2012.0,DELAWARE,56.9,1
2012.0,FLORIDA,52.64411764705883,26
2012.0,GEORGIA,41.244375000000005,5
2012.0,IDAHO,45.98222222222222,1
2012.0,ILLINOIS,53.44563106796116,19
2012.0,INDIANA,48.99354838709677,3
2012.0,IOWA,59.974,4
2012.0,KANSAS,50.31792452830189,4
2012.0,KENTUCKY,34.844628099173555,6
2012.0,MARYLAND,57.552,1
2012.0,MASSACHUSETTS,66.42,1
2012.0,MICHIGAN,58.61666666666667,11
2012.0,MINNESOTA,63.02386363636364,4
2012.0,MISSOURI,46.6353448275862,13
2012.0,MONTANA,60.52456140350878,7
2012.0,NEW JERSEY,61.60909090909092,1
2012.0,NEW YORK,61.22380952380952,1
2012.0,NORTH CAROLINA,42.95049504950495,3
2012.0,OHIO,51.64831460674157,7
2012.0,OKLAHOMA,41.776923076923076,5
2012.0,OREGON,59.71081081081081,6
2012.0,PENNSYLVANIA,56.50588235294118,2
2012.0,SOUTH DAKOTA,57.189552238805966,1
2012.0,TENNESSEE,33.925000000000004,2
2012.0,TEXAS,45.470588235294116,2
2012.0,VIRGINIA,48.07923076923077,8
2012.0,WASHINGTON,59.5225,19
2012.0,WEST VIRGINIA,33.214285714285715,4
2012.0,WISCONSIN,66.12876712328767,8
